Judet,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_
ab,0.8829824068875164,0.8829824068875164,3.5671439266329776,2.9420269511510386,15.397791502900992,2.577407823320232,0.8829824068875164,2.8470054276623618
ag,0.4020208929237657,0.4020208929237657,1.340069643079219,1.340069643079219,5.360278572316876,0.2680139286158438,0.4020208929237657,1.340069643079219
ar,0.6226660540824364,0.6226660540824364,2.075553513608121,2.075553513608121,8.302214054432485,0.4151107027216242,0.6226660540824364,2.075553513608121
b,10.035233333333332,10.035233333333332,33.45077777777778,33.45077777777778,133.80311111111112,6.690155555555555,10.035233333333332,33.45077777777778
bc,0.361062874251497,0.361062874251497,1.2035429141716567,1.2035429141716567,4.814171656686627,0.2407085828343313,0.361062874251497,1.2035429141716567
bh,0.21345994808297536,0.21345994808297536,0.7115331602765845,0.7115331602765845,2.846132641106338,0.1423066320553169,0.21345994808297536,0.7115331602765845
bn,0.10987883503779458,0.10987883503779458,0.36626278345931523,0.36626278345931523,1.465051133837261,0.07325255669186305,0.10987883503779458,0.36626278345931523
br,0.17443385759968674,0.17443385759968674,0.5814461919989559,0.5814461919989559,2.3257847679958235,0.11628923839979116,0.17443385759968674,0.5814461919989559
bt,0.151982683982684,0.151982683982684,0.5066089466089466,0.5066089466089466,2.0264357864357865,0.10132178932178933,0.151982683982684,0.5066089466089466
bv,0.2529538716311867,0.2529538716311867,0.8431795721039558,0.8431795721039558,3.372718288415823,0.16863591442079115,0.2529538716311867,0.8431795721039558
bz,0.10838492171237216,0.10838492171237216,0.36128307237457385,0.36128307237457385,1.4451322894982954,0.07225661447491477,0.10838492171237216,0.36128307237457385
cj,0.14494562818506482,0.14494562818506482,0.483152093950216,0.483152093950216,1.932608375800864,0.09663041879004321,0.14494562818506482,0.483152093950216
cl,0.05012236309116734,0.05012236309116734,0.16707454363722446,0.16707454363722446,0.6682981745488978,0.033414908727444896,0.05012236309116734,0.16707454363722446
cs,0.07577483535421924,0.07577483535421924,0.25258278451406413,0.25258278451406413,1.0103311380562565,0.05051655690281282,0.07577483535421924,0.25258278451406413
ct,0.16529508548537092,0.16529508548537092,0.5509836182845698,0.5509836182845698,2.203934473138279,0.11019672365691394,0.16529508548537092,0.5509836182845698
cv,0.07223863636363638,0.07223863636363638,0.24079545454545453,0.24079545454545453,0.9631818181818181,0.04815909090909091,0.07223863636363638,0.24079545454545453
db,0.06704419819454305,0.06704419819454305,0.22348066064847685,0.22348066064847685,0.8939226425939074,0.04469613212969537,0.06704419819454305,0.22348066064847685
dj,0.07833590414235575,0.07833590414235575,0.26111968047451917,0.26111968047451917,1.0444787218980767,0.05222393609490383,0.07833590414235575,0.26111968047451917
gj,0.05754525467204104,0.05754525467204104,0.19181751557347013,0.19181751557347013,0.7672700622938805,0.038363503114694025,0.05754525467204104,0.19181751557347013
gl,0.11249421742482653,0.11249421742482653,0.37498072474942173,0.37498072474942173,1.499922898997687,0.07499614494988435,0.11249421742482653,0.37498072474942173
gr,0.040244434110329595,0.040244434110329595,0.13414811370109864,0.13414811370109864,0.5365924548043945,0.02682962274021973,0.040244434110329595,0.13414811370109864
hd,0.06810285896358949,0.06810285896358949,0.22700952987863163,0.22700952987863163,0.9080381195145265,0.045401905975726325,0.06810285896358949,0.22700952987863163
hr,0.05214855589463707,0.05214855589463707,0.17382851964879023,0.17382851964879023,0.6953140785951609,0.03476570392975805,0.05214855589463707,0.17382851964879023
if,0.06637671070058071,0.06637671070058071,0.221255702335269,0.221255702335269,0.885022809341076,0.0442511404670538,0.06637671070058071,0.221255702335269
il,0.03453404765261525,0.03453404765261525,0.11511349217538418,0.11511349217538418,0.4604539687015367,0.023022698435076837,0.03453404765261525,0.11511349217538418
is,0.08577910507068663,0.08577910507068663,0.2859303502356221,0.2859303502356221,1.1437214009424883,0.057186070047124414,0.08577910507068663,0.2859303502356221
mh,0.03391131223858024,0.03391131223858024,0.11303770746193413,0.11303770746193413,0.4521508298477365,0.022607541492386828,0.03391131223858024,0.11303770746193413
mm,0.05251152625591282,0.05251152625591282,0.17503842085304272,0.17503842085304272,0.7001536834121709,0.035007684170608545,0.05251152625591282,0.17503842085304272
ms,0.04368559079920885,0.04368559079920885,0.14561863599736283,0.14561863599736283,0.5824745439894513,0.029123727199472565,0.04368559079920885,0.14561863599736283
nt,0.049742426850258176,0.049742426850258176,0.1658080895008606,0.1658080895008606,0.6632323580034424,0.033161617900172115,0.049742426850258176,0.1658080895008606
ot,0.027445941004388102,0.027445941004388102,0.09148647001462701,0.09148647001462701,0.36594588005850803,0.0182972940029254,0.027445941004388102,0.09148647001462701
ph,0.05063522846704369,0.05063522846704369,0.16878409489014565,0.16878409489014565,0.6751363795605826,0.033756818978029124,0.05063522846704369,0.16878409489014565
sb,0.04341784022931206,0.04341784022931206,0.14472613409770688,0.14472613409770688,0.5789045363908275,0.028945226819541377,0.04341784022931206,0.14472613409770688
sj,0.024534343180887735,0.024534343180887735,0.08178114393629245,0.08178114393629245,0.3271245757451698,0.016356228787258488,0.024534343180887735,0.08178114393629245
sm,0.036831003165511,0.036831003165511,0.12277001055170335,0.12277001055170335,0.4910800422068134,0.02455400211034067,0.036831003165511,0.12277001055170335
sv,0.03774585220995875,0.03774585220995875,0.12581950736652917,0.12581950736652917,0.5032780294661167,0.02516390147330583,0.03774585220995875,0.12581950736652917
tl,0.02499304589707928,0.02499304589707928,0.08331015299026426,0.08331015299026426,0.33324061196105703,0.01666203059805285,0.02499304589707928,0.08331015299026426
tm,0.040214371490701374,0.040214371490701374,0.13404790496900457,0.13404790496900457,0.5361916198760183,0.026809580993800916,0.040214371490701374,0.13404790496900457
tr,0.022299903476008257,0.022299903476008257,0.07433301158669418,0.07433301158669418,0.29733204634677673,0.014866602317338837,0.022299903476008257,0.07433301158669418
vl,0.02241878761376775,0.02241878761376775,0.0747292920458925,0.0747292920458925,0.29891716818357,0.014945858409178501,0.02241878761376775,0.0747292920458925
vn,0.02584737446589424,0.02584737446589424,0.08615791488631414,0.08615791488631414,0.34463165954525654,0.017231582977262825,0.02584737446589424,0.08615791488631414
vs,0.028508334419315474,0.028508334419315474,0.09502778139771825,0.09502778139771825,0.380111125590873,0.019005556279543652,0.028508334419315474,0.09502778139771825
